text,label
what is the process for filing an FIR in India,LEGAL
is it legal for a housing society to charge different maintenance fees from owners and tenants in India,LEGAL
is it legal for an employer to ask about my previous salary during hiring in India,LEGAL
can a school legally stop my child from appearing in exams over fee dues in India,LEGAL
I get dizzy spells that last about 30 seconds,MEDICAL
can an app legally sell my location data to third parties,LEGAL
I was not given a written employment contract in India what are my rights,LEGAL
what is the difference between civil and criminal law,LEGAL
what is the difference between a virus and malware,GENERAL
my app crashes when the list is empty,CODING
how do I start a journal,GENERAL
create a type in TypeScript with generics,CODING
is it legal to record a conversation with my employer in India,LEGAL
is it safe to use AI therapy apps and are there regulations around them,GENERAL
what are the health and legal implications of recreational drug use,GENERAL
how does the nervous system work,GENERAL
is it safe to take melatonin every night,MEDICAL
what is the difference between hardware and software,GENERAL
what is climate change explained simply,GENERAL
what causes psoriasis flare ups,MEDICAL
can a company use my personal data without permission,LEGAL
I need to join a medications table with a diagnoses table in SQL,CODING
my doctor wants to do a biopsy should I be scared,MEDICAL
what is the punishment for drunk driving in India,LEGAL
what exactly is a race condition and how do I reproduce it,CODING
implement a retry mechanism with exponential backoff in Python,CODING
can you review this Python function I wrote,CODING
explain what whistleblowing is and what legal protections exist for whistleblowers,GENERAL
what is the subconscious mind,GENERAL
what are the mental health effects of social media and are there any laws around it,GENERAL
how do corticosteroids work,MEDICAL
why is my state not updating in React,CODING
can a private school expel my child without proper process,LEGAL
my teenager has been losing weight rapidly without dieting what could cause that,MEDICAL
should I be worried about a mole that changed color,MEDICAL
write a function to compare two versions of a legal contract,CODING
what are the legal implications of an incorrect diagnosis that led to wrong treatment,LEGAL
what are the rules around sick leave in India,LEGAL
what is addiction,GENERAL
write a function to calculate Fibonacci using memoization,CODING
symptoms of sleep apnea,MEDICAL
implement a bloom filter in Python,CODING
symptoms of carpal tunnel syndrome,MEDICAL
explain what gene therapy is and whether there are laws governing it,GENERAL
what causes swollen lymph nodes,MEDICAL
what causes kidney stones,MEDICAL
what is carbon footprint,GENERAL
can my boss really do this to me,LEGAL
my lab results show low ferritin but normal hemoglobin what does that mean,MEDICAL
what are some good TED talks to watch,GENERAL
what is the legal process for divorce in the UK,LEGAL
what is the Internet of Things,GENERAL
what is a normal blood pressure reading,MEDICAL
what is the legal process for getting a restraining order in the US,LEGAL
write a regex to validate email addresses,CODING
how do I use decorators in Python,CODING
