text,label
what is the relationship between gut bacteria and mental health,MEDICAL
how do lie detectors work and are they legally admissible in court,GENERAL
explain the difference between shallow and deep copy,CODING
how does radiation therapy work,MEDICAL
suggest a 7 day meal plan for a beginner,GENERAL
how do antidepressants work and can an employer ask if you are on them,GENERAL
explain what a data breach is and what are my rights when it happens,GENERAL
how do I start meditating,GENERAL
what are the legal implications of an incorrect diagnosis that led to wrong treatment,LEGAL
Why do leaves change color in autumn?,GENERAL
How does compound interest grow a savings account over time?,GENERAL
A fitness app wants to sell anonymized heart-rate data — what privacy laws might apply?,LEGAL
