text,label
what is the relationship between gut bacteria and mental health,MEDICAL
how do lie detectors work and are they legally admissible in court,GENERAL
explain the difference between shallow and deep copy,CODING
how does radiation therapy work,MEDICAL
suggest a 7 day meal plan for a beginner,GENERAL
how do antidepressants work and can an employer ask if you are on them,GENERAL
explain what a data breach is and what are my rights when it happens,GENERAL
how do I start meditating,GENERAL
what are the legal implications of an incorrect diagnosis that led to wrong treatment,LEGAL
Why do leaves change color in autumn?,GENERAL
How does compound interest grow a savings account over time?,GENERAL
A fitness app wants to sell anonymized heart-rate data — what privacy laws might apply?,LEGAL
Explain how to debounce a search input handler in JavaScript,CODING
Write a SQL query that finds duplicate emails in a users table,CODING
How do I unit-test an async FastAPI endpoint that returns a streaming response?,CODING
Write a regex that validates IPv4 addresses but rejects leading zeros,CODING
What first-aid steps should I take for a suspected ankle sprain?,MEDICAL
What lifestyle changes help reduce recurrent kidney stones?,MEDICAL
What are common side effects of short-course oral corticosteroids?,MEDICAL
When should someone seek emergency care for a severe allergic reaction?,MEDICAL
What rights does a tenant have if the landlord enters without notice in California?,LEGAL
How does fair use work for quoting a short passage from a copyrighted book?,LEGAL
Can an employer require employees to sign a non-compete after they already started work?,LEGAL
"If a rideshare driver hits my car, whose insurance typically pays first?",LEGAL
What happens legally if I miss a court date for a traffic ticket?,LEGAL
How do HIPAA privacy rules limit what a hospital can share with family?,LEGAL
Can a website's terms of service ban class-action lawsuits?,LEGAL
Does a verbal agreement to sell a used car count as a binding contract?,LEGAL
Explain how noise-cancelling headphones reduce ambient sound,GENERAL
How do bees communicate the location of food to the hive?,GENERAL
What are the main arguments for and against daylight saving time?,GENERAL
How does a heat pump warm a house more efficiently than electric resistance heat?,GENERAL
What is confirmation bias and how does it affect decision-making?,GENERAL
Should hospitals be required by law to publish negotiated prices for common procedures?,LEGAL
I have a persistent dry cough for three weeks after a cold — what are common causes?,MEDICAL
How can I paginate large PostgreSQL result sets without OFFSET performance issues?,CODING
What vaccines are typically recommended for healthy adults traveling to Southeast Asia?,MEDICAL
Can I record a phone call with customer support without telling them in a one-party consent state?,LEGAL
