text,label
"write a function that reverses a string in Python",CODING
"implement binary search in JavaScript",CODING
"how do I sort a list in Python",CODING
"write a SQL query to get all users from a table",CODING
"create a class in Java with a constructor",CODING
"how do I loop through an array in JavaScript",CODING
"write a function to check if a number is prime",CODING
"implement a stack using Python",CODING
"write a SQL JOIN query for two tables",CODING
"how do I read a file in Python",CODING
"create a REST API endpoint in Node.js",CODING
"write a recursive function for factorial",CODING
"how do I connect to a MySQL database in Python",CODING
"implement merge sort in C++",CODING
"write a function to find duplicates in a list",CODING
"how do I use fetch API in JavaScript",CODING
"create a simple Flask web server",CODING
"write a SQL query with GROUP BY and COUNT",CODING
"implement a linked list in Java",CODING
"how do I handle exceptions in Python",CODING
"write a function to flatten a nested array",CODING
"how do I use async await in JavaScript",CODING
"create a binary tree in C++",CODING
"write a regex to validate email addresses",CODING
"how do I use list comprehensions in Python",CODING
"implement quicksort in Python",CODING
"write a function to count word frequency",CODING
"how do I make a POST request with axios",CODING
"create a login form with HTML and CSS",CODING
"write a SQL query to find duplicate rows",CODING
"how do I use decorators in Python",CODING
"implement a queue using JavaScript",CODING
"write a function to check balanced parentheses",CODING
"how do I paginate results in SQL",CODING
"create a React component with state",CODING
"write a function to find the longest common subsequence",CODING
"how do I use lambda functions in Python",CODING
"implement depth first search in Java",CODING
"write a script to scrape a webpage with BeautifulSoup",CODING
"how do I use localStorage in JavaScript",CODING
"create a many-to-many relationship in SQL",CODING
"write a function to convert Roman numerals to integers",CODING
"how do I use generators in Python",CODING
"implement a hash map from scratch in C++",CODING
"write a function to detect a cycle in a linked list",CODING
"how do I filter an array in JavaScript",CODING
"create a Dockerfile for a Python app",CODING
"write a SQL query using window functions",CODING
"how do I use threading in Python",CODING
"implement a priority queue in Java",CODING
"write a function that finds all permutations of a string",CODING
"how do I use the map function in JavaScript",CODING
"create a Django model with relationships",CODING
"write a function to serialize a binary tree",CODING
"how do I use context managers in Python",CODING
"implement breadth first search in Python",CODING
"write a SQL stored procedure",CODING
"how do I use promises in JavaScript",CODING
"create an index in a database table",CODING
"write a function to calculate Fibonacci using memoization",CODING
"how do I use argparse in Python",CODING
"implement Dijkstra's algorithm in C++",CODING
"write a function to rotate a matrix 90 degrees",CODING
"how do I use the spread operator in JavaScript",CODING
"create a GraphQL resolver in Node.js",CODING
"write a script to automate file renaming in Python",CODING
"how do I use SQL subqueries",CODING
"implement a trie data structure in Java",CODING
"write a function to check if a string is a palindrome",CODING
"how do I use useState hook in React",CODING
"create a middleware function in Express.js",CODING
"write a SQL trigger for audit logging",CODING
"how do I use multiprocessing in Python",CODING
"implement a LRU cache in JavaScript",CODING
"write a function to find the kth largest element",CODING
"how do I use CSS flexbox",CODING
"create a type in TypeScript with generics",CODING
"write a function to merge two sorted arrays",CODING
"how do I handle CORS in a Node.js API",CODING
"implement a graph using adjacency list in Python",CODING
"write a SQL query to calculate running totals",CODING
"how do I use the reduce function in JavaScript",CODING
"create a Python class that inherits from another",CODING
"write a function to validate a credit card number using Luhn",CODING
"how do I use environment variables in Node.js",CODING
"implement a min heap in C++",CODING
"write a function to parse a CSV file in Python",CODING
"how do I create a custom hook in React",CODING
"write a SQL query to find the second highest salary",CODING
"how do I use pytest to write unit tests in Python",CODING
"implement an AVL tree in Java",CODING
"write a function to check if two strings are anagrams",CODING
"how do I use grid layout in CSS",CODING
"create a Python decorator that logs function calls",CODING
"write a function to find the median of a stream of numbers",CODING
"how do I use WebSockets in Node.js",CODING
"implement a bloom filter in Python",CODING
"write a SQL query to pivot rows into columns",CODING
"how do I set up JWT authentication in Express",CODING
"my code keeps throwing a TypeError and I don't know why",CODING
"why is my loop running one too many times",CODING
"can you review this Python function I wrote",CODING
"what is wrong with my SQL query",CODING
"I'm getting a KeyError in my dictionary code",CODING
"IndexError on line 4 when I run this",CODING
"help me fix this broken function",CODING
"something is wrong with my script",CODING
"why is my API call returning undefined",CODING
"can you check why this isn't working",CODING
"my for loop in JavaScript only runs once",CODING
"this function returns None when it shouldn't",CODING
"getting a NullPointerException in Java",CODING
"my regex isn't matching what I expect",CODING
"why does my recursive function hit max recursion depth",CODING
"can you tell me what this code does",CODING
"explain how this sorting algorithm works",CODING
"what does this SQL query actually return",CODING
"I don't understand what this function is doing",CODING
"explain the difference between shallow and deep copy",CODING
"how does this async function work exactly",CODING
"what does yield do in Python",CODING
"explain what this class method is doing",CODING
"I have a memory leak somewhere in my C++ code",CODING
"my database query is super slow how do I fix it",CODING
"sort this list without using built in functions",CODING
"connect to a database and fetch all records",CODING
"read a JSON file and parse it",CODING
"make this code faster",CODING
"fix the bug in this code",CODING
"make this function work for edge cases",CODING
"optimize this nested loop",CODING
"remove duplicates from this array",CODING
"how do I convert this to work asynchronously",CODING
