text,label
can a landlord ban pets in a rental property in the UK,LEGAL
who invented the telephone,GENERAL
my company fired me by email without any prior performance warning,LEGAL
the database connection drops randomly,CODING
what are the best ways to save money on groceries,GENERAL
explain what the event loop in Node.js actually does,CODING
explain what gene therapy is and whether there are laws governing it,GENERAL
what is quantum computing,GENERAL
my newborn has jaundice is that serious,MEDICAL
how do I connect to a MySQL database in Python,CODING
write a script to batch resize images in a folder using Pillow,CODING
is it safe to exercise with high blood pressure,MEDICAL
who was Mahatma Gandhi,GENERAL
how do I use environment variables in Node.js,CODING
can my boss reduce my salary without telling me in the UK,LEGAL
what causes migraines,MEDICAL
is it legal to resell concert tickets at a higher price in the UK,LEGAL
what is the legal process for adopting a child in India,LEGAL
can a bank legally share my financial data with third party apps without my consent,LEGAL
who was the first person to walk on the moon,GENERAL
what is depression and how is it treated,MEDICAL
can my employer access my personal emails on a work device,LEGAL
can I sue a pharmaceutical company if their drug gave me serious side effects,LEGAL
can my employer make me work on public holidays without extra pay,LEGAL
how does workers compensation work in the US,LEGAL
I have a lump under my armpit that doesn't hurt,MEDICAL
I cough up a small amount of blood when I blow my nose,MEDICAL
can an app legally sell my location data to third parties,LEGAL
do I have the right to see a lawyer before police questioning in India,LEGAL
what is the legal process for filing a medical negligence case in India,LEGAL
what is a startup,GENERAL
implement breadth first search in Python,CODING
what are my rights if I am made redundant in the UK,LEGAL
my startup was copied by a bigger company what legal options do I have,LEGAL
what are the best ways to improve my memory,GENERAL
explain what end of life care is and what legal documents I need,GENERAL
write a function to serialize a binary tree,CODING
what does it mean when a tumor is described as stage 3,MEDICAL
build an API endpoint that returns jurisdiction-based case law data,CODING
what does it mean when kidney GFR is below 60,MEDICAL
what are my legal options if a doctor shares my diagnosis with my family without my permission,LEGAL
can I get a refund on a non-refundable ticket under UK consumer law,LEGAL
my neighbour built a wall on my property boundary what are my options,LEGAL
what is 5G and how is it different from 4G,GENERAL
my name was used in a news article without permission is that legal,LEGAL
implement depth first search in Java,CODING
can high blood pressure cause headaches,MEDICAL
how does nuclear energy work,GENERAL
what is two factor authentication,GENERAL
can I legally work two jobs at the same time in India,LEGAL
what is informed consent in both a medical and a general ethical sense,GENERAL
how much sodium per day is safe for someone with heart failure,MEDICAL
what is the medical difference between a virus and a bacterial infection,MEDICAL
can my daughter inherit property equally with my sons under Indian law,LEGAL
I wake up every night drenched in sweat,MEDICAL
how does the immune system work,GENERAL
my doctor wants me to get an echocardiogram what is that,MEDICAL
write a function to find the median of a stream of numbers,CODING
how does facial recognition technology work,GENERAL
my teenager has been very withdrawn and sleeping all day,MEDICAL
write a function to deep clone a nested object in JavaScript,CODING
I keep getting a weird metallic taste in my mouth,MEDICAL
is oxycodone physically addictive after just a few days,MEDICAL
what causes high blood pressure,MEDICAL
what is a non-disclosure agreement,LEGAL
symptoms of endometriosis,MEDICAL
what is the science of climate change and who is legally responsible for it,GENERAL
how does insulin work in the body,MEDICAL
can I record a phone call without telling the other person in India,LEGAL
what causes ringing in the ears,MEDICAL
how does gravity work,GENERAL
implement binary search in JavaScript,CODING
write a function that finds all permutations of a string,CODING
someone is using my brand name without permission what can I do,LEGAL
what are my rights during a police arrest in India,LEGAL
build a data pipeline to ingest and clean climate sensor data,CODING
write a Python script to map coordinates from a geospatial dataset,CODING
I have a pain in my upper right abdomen after eating fatty food,MEDICAL
what is diabetes in simple terms,GENERAL
optimize this nested loop,CODING
how long does it take for antibiotics to work,MEDICAL
what is mental health,GENERAL
my property was acquired by the government was I entitled to more compensation,LEGAL
what is cryptocurrency,GENERAL
how does token-based auth work at the code level,CODING
what is a contract in simple terms,GENERAL
what is the legal process for divorce in the UK,LEGAL
write a function to parse a CSV file in Python,CODING
how does the right to fair trial work,LEGAL
can my landlord withhold my security deposit without reason,LEGAL
what are symptoms of iron deficiency anemia,MEDICAL
what is cognitive bias,GENERAL
something is off with my authentication logic,CODING
what causes kidney stones,MEDICAL
how does the internet work,GENERAL
is a fitness app legally allowed to share my heart rate data with insurers,LEGAL
is it legal to operate a food business from home in India,LEGAL
can police use CCTV footage as evidence without a warrant in India,LEGAL
what are the mental health effects of social media and are there any laws around it,GENERAL
how do streaming services like Netflix work,GENERAL
explain what a startup is and what kind of legal structure it should have,GENERAL
what are my legal rights if a builder delays possession of my flat in India,LEGAL
what is the legal process for recovering money from a business partner who cheated me,LEGAL
what books should I read if I liked Atomic Habits,GENERAL
write a SQL trigger for audit logging,CODING
can I be fired for posting on social media in the US,LEGAL
what is the difference between HTTP and HTTPS,GENERAL
is it legal for a landlord to install cameras inside a rented property in the UK,LEGAL
my child has had a cough for 3 weeks,MEDICAL
my cholesterol came back high but I eat really healthy how is that possible,MEDICAL
can my bank legally close my account without giving a reason in India,LEGAL
my landlord is asking for 6 months rent in advance is that legal in the UK,LEGAL
write a SQL query to flag patients with abnormal lab values,CODING
what is the difference between civil and criminal law,LEGAL
what causes irritable bowel syndrome,MEDICAL
can a company use my personal data without permission,LEGAL
how do I file for bankruptcy in the US,LEGAL
is prediabetes reversible with diet alone,MEDICAL
how does bail work in the US,LEGAL
my app crashes when the list is empty,CODING
what is the difference between a sole trader and a limited company in the UK,LEGAL
I signed a contract under pressure can I cancel it,LEGAL
how do I learn a new language fast,GENERAL
I was defamed in a WhatsApp group can I take legal action in India,LEGAL
what are the early signs of Alzheimer's,MEDICAL
can you become dependent on nasal spray if you use it every day,MEDICAL
what are the psychological and practical effects of unemployment,GENERAL
what are the risks of long term proton pump inhibitor use,MEDICAL
how does the gig economy work and are gig workers entitled to any legal protections,GENERAL
what are the health effects and legal status of cannabis globally,GENERAL
what is a recession,GENERAL
